Aeg,Temperatuur,Niiskus,&Otilde;hur&otilde;hk,Tuulekiirus,Tuulesuund,Sademed,Kiirgusvoog
2021-12-0102:20:00,-7.36860927152,84.8198454746,983.849136213,4.85917096336202,292.069506682129,0,2.46157670316
2021-12-0102:25:00,-7.36224175824,85.090021978,983.9092,4.3168284321443,286.657471763154,0,2.40677374875
2021-12-0102:30:00,-7.37350993377,85.7109050773,984.005533333,4.86573716158456,288.055780912064,0,2.41606363331
2021-12-0102:35:00,-7.37555309735,85.7748893805,984.076666667,5.17148567641726,288.039103840178,0,2.41328484087
2021-12-0102:40:00,-7.40484581498,86.3134361233,984.0765,6.39387377107079,285.378898730374,0,2.37518613108
2021-12-0102:45:00,-7.40385462555,86.6103964758,984.086533333,5.46996786615841,285.732273408052,0,2.3454494282
2021-12-0102:50:00,-7.4143107221,87.1484682713,984.116366667,5.08744626752952,287.857277239009,0.0489999999999995,2.34877783413
2021-12-0102:55:00,-7.4036622807,87.3142982456,984.1237,4.76064039497606,286.837596408259,0,2.35196684483
2021-12-0103:00:00,-7.41308370044,87.9018502203,984.1825,4.16889996476055,291.556532224422,0,2.39744089025
2021-12-0103:05:00,-7.4001754386,87.9791008772,984.2437,4.6950645009473,290.671904287739,0,2.36072769009
2021-12-0103:10:00,-7.39256578947,88.1076973684,984.302133333,4.54120138742828,288.583137063853,0,2.40602867942
2021-12-0103:15:00,-7.3909030837,88.4260572687,984.361566667,4.0534194645454,289.252378433068,0,2.41560028292
2021-12-0103:20:00,-7.38396929825,88.3492105263,984.430666667,4.69371438694139,286.704398503828,0,2.41756368877
2021-12-0103:25:00,-7.36885964912,87.9147587719,984.476933333,3.88359791227621,291.60479613682,0,2.33973646258
2021-12-0103:30:00,-7.35811403509,88.0868859649,984.546966667,2.71310362951987,304.834381991279,0,2.2777004725
2021-12-0103:35:00,-7.38004385965,87.9789692982,984.6214,3.54483806428642,317.921681442428,0.0519999999999996,1.72612940178
2021-12-0103:40:00,-7.40048351648,88.3292307692,984.719734219,3.52878631358495,320.217123501618,0,2.19251573376
2021-12-0103:45:00,-7.41640350877,87.2528947368,984.8087,3.11157888673946,325.730400052812,0.034000000000006,2.17730553306
2021-12-0103:50:00,-7.45144420131,87.1388621444,984.874533333,3.32090939858514,325.708749350283,0,2.33486885225
2021-12-0103:55:00,-7.49013245033,86.0025165563,984.977666667,3.88458393654577,320.510657082774,0,2.43932477024
2021-12-0104:00:00,-7.5068061674,85.3934801762,985.065966667,3.64793009180853,313.251445170887,0.0539999999999949,2.30394521016
2021-12-0104:05:00,-7.53693832599,85.8024008811,985.224,3.09113643327105,317.649871070439,0,2.29001023104
2021-12-0104:10:00,-7.56542035398,85.7443141593,985.379133333,2.7939884377825,319.238034172609,0,2.31061260918
2021-12-0104:15:00,-7.58924944812,85.6466225166,985.4685,3.38622373753197,320.221021677986,0,2.28780247171
2021-12-0104:20:00,-7.60764317181,84.8688325991,985.517533333,3.96376246111255,314.538765356586,0,1.9232359914
2021-12-0104:25:00,-7.65967032967,84.8590989011,985.6044,3.51594537350119,314.409243795779,0,2.1644813966
2021-12-0104:30:00,-7.6954845815,84.6286123348,985.6247,4.19910019836426,317.451017046673,0,2.97539096438
2021-12-0104:35:00,-7.72296703297,84.8337582418,985.635766667,3.55800986079492,321.400235386464,0,2.37167106179
2021-12-0104:40:00,-7.7127032967,84.5848351648,985.7456,2.94659806672127,308.714191489215,0,2.30971652728
2021-12-0104:45:00,-7.73725877193,85.11375,985.896233333,3.03945998954675,305.116388322631,0,2.33840377041
2021-12-0104:50:00,-7.75114537445,85.8166960352,985.991166667,2.59646891021944,297.499811295976,0,2.40796481574
2021-12-0104:55:00,-7.77193832599,86.1906828194,986.0311,2.95848960228113,303.359416273149,0,2.30354297804
2021-12-0105:00:00,-7.81191629956,86.6857488987,986.112533333,3.33308196270942,302.12969877671,0.0650000000000048,2.11882603531
2021-12-0105:05:00,-7.83103296703,87.2679340659,986.204766667,2.66915395417932,294.666495349005,0,2.26765552995
2021-12-0105:10:00,-7.82091703057,87.8489956332,986.281960133,1.80436411723616,293.234621984649,0,2.32399143201
2021-12-0105:15:00,-7.82951754386,88.5019298246,986.3355,2.26783550745835,296.775959555478,0,2.30532826491
2021-12-0105:20:00,-7.81923245614,89.1281140351,986.400733333,1.67736038251988,289.68922834134,0,1.46343604077
2021-12-0105:25:00,-7.79892778993,89.6090809628,986.480833333,2.18451661749464,310.276700960703,0,1.36768470098
2021-12-0105:30:00,-7.77969298246,89.9633114035,986.580566667,1.94735193791612,304.058133206396,0.0569999999999951,1.91520901458
2021-12-0105:35:00,-7.72878854626,90.2992951542,986.660566667,2.21271491346109,312.035064565383,0,2.49209130236
2021-12-0105:40:00,-7.75083150985,90.4887964989,986.653333333,2.92503980319547,293.660147166524,0.0330000000000013,2.41644563822
2021-12-0105:45:00,-7.72017582418,90.2091428571,986.6949,3.84326296381444,290.716121982076,0,2.36456062229
2021-12-0105:50:00,-7.70153172867,89.3587527352,986.736,4.57107424798105,284.507911650904,0,1.45238361598
2021-12-0105:55:00,-7.70792122538,89.251356674,986.729866667,4.96068145075883,283.335368574298,0,2.19520411975
2021-12-0106:00:00,-7.70188596491,88.8302412281,986.7011,5.16900778642392,282.634067469741,0,1.78204533875
2021-12-0106:05:00,-7.6963238512,88.4707658643,986.7151,5.22187588359591,283.017363162164,0,2.30485873927
2021-12-0106:10:00,-7.68125,88.2426535088,986.802266667,5.04784805860654,281.605475463458,0,3.62886635452
2021-12-0106:15:00,-7.68927631579,88.3886622807,986.8395,5.12647485739199,281.500991856635,0,3.14321940099
2021-12-0106:20:00,-7.68575824176,88.4134065934,986.8918,5.49804364966404,279.267214423888,0,1.86045113196
2021-12-0106:25:00,-7.66922907489,88.4422246696,986.923066667,5.05640819085736,279.831543128071,0,1.8960338054
2021-12-0106:30:00,-7.65142231947,88.4347921225,986.918533333,5.92336576536915,280.369784345524,0,1.81673860499
2021-12-0106:35:00,-7.62917030568,88.1728384279,986.877342193,5.27444882913661,279.538071983493,0,1.87395932977
2021-12-0106:40:00,-7.61570175439,88.284254386,986.8531,5.74665123009455,277.731053999126,0,1.66874251451
2021-12-0106:45:00,-7.59129102845,88.2021881838,986.880766667,5.56914621389993,281.784414888373,0,1.65150817431
2021-12-0106:50:00,-7.57184210526,88.343004386,986.926166667,5.53657316782884,280.779150152604,0,1.69992521709
2021-12-0106:55:00,-7.53664473684,88.3045614035,986.9427,5.73740495974125,281.692435280009,0,1.88343548993
2021-12-0107:00:00,-7.46122807018,87.9153947368,987.006933333,5.96068574290697,280.456757032821,0,1.88879022833
2021-12-0107:05:00,-7.4188377193,87.8300877193,987.038,6.53963265586688,278.090628697185,0,1.96799081632
